lang	pool	index	old	new	status
sa	outcome.timeup.hard.pool	15	"भूमिः त्वां परीक्षितवती।
उत्तरं पूर्णं नाभवत्, परन्तु मौनं न आसीत्।"	"भूमिः त्वां परीक्षितवती।
उत्तरं पूर्णं नाभवत्, मौनं तु न आसीत्।"	CHANGED
sa	outcome.timeup.hard.pool	16	"अल्पे प्रकाशे अपि,
त्वया मार्गस्य रूपं दृष्टम्।"	"अल्पे प्रकाशेऽपि,
मार्गस्य रूपं त्वया दृष्टम्।"	CHANGED
sa	outcome.timeup.hard.pool	17	"नक्षत्राणि दूराणि आसन्।
तव दृष्टिः तु तेषु आसीत्।"	"नक्षत्राणि दूराणि आसन्।
तव दृष्टिः तु तेषु आसीत्।"	UNCHANGED
sa	outcome.timeup.hard.pool	18	"शीतं घनम् आसीत्,
किन्तु तव कर्म निष्फलं नाभवत्।"	"शीतं घनम् आसीत्,
तव कर्म तु निष्फलं नाभवत्।"	CHANGED
sa	outcome.timeup.hard.pool	19	"अपूर्णफलम् अपि फलमेव।
तत् पुनरागमनं सूचयति।"	"अपूर्णफलम् अपि फलमेव।
तत् पुनरागमनं सूचयति।"	UNCHANGED
sa	outcome.timeup.hard.pool	20	"कठिनता न दया करोति।
किन्तु सा सत्यं दर्शयति।"	"कठिनता दयां न करोति।
किन्तु सत्यं दर्शयति।"	CHANGED
sa	outcome.timeup.hard.pool	21	"मार्गः अद्य न उद्घाटितः।
कुञ्चिका तु स्मृतौ निहिता।"	"मार्गः अद्य न उद्घाटितः।
कुञ्चिका तु स्मृतौ निहिता।"	UNCHANGED
sa	outcome.timeup.hard.pool	22	"चिह्नानि क्षीणानि जातानि,
परन्तु पदानि कदाचित् पुनः आगमिष्यन्ति।"	"चिह्नानि क्षीणानि,
पदानि तु कदाचित् पुनरागमिष्यन्ति।"	CHANGED
sa	outcome.timeup.hard.pool	23	"कालः द्वारं पिधाय गतः।
त्वं द्वारस्य स्थानं ज्ञातवान्।"	"कालः द्वारं पिधाय गतः।
त्वं द्वारस्थानं ज्ञातवान्।"	CHANGED
sa	outcome.timeup.hard.pool	24	"तूष्णीं समुद्रः,
तूष्णीं नभः,
तथापि अन्तः शब्दः अस्ति।"	"तूष्णीं समुद्रः,
तूष्णीं नभः,
तथापि अन्तः शब्दः अस्ति।"	UNCHANGED
sa	outcome.timeup.hard.pool	25	"अयं पराजयः न केवलं अन्तः।
अयं मार्गदर्शनम्।"	"अयं पराजयः न केवलम् अन्तः।
अयं मार्गदर्शनम्।"	CHANGED
sa	outcome.timeup.hard.pool	26	"त्वं यावत् गतवान्,
तावत् जगत् त्वां ज्ञातवत्।"	"यावत् त्वं गतः,
तावत् जगत् त्वां ज्ञातवत्।"	CHANGED
sa	outcome.timeup.hard.pool	27	"अदृष्टं लक्ष्यं न मिथ्या।
तत् केवलं अद्य दूरम्।"	"अदृष्टं लक्ष्यं मिथ्या न।
तत् केवलम् अद्य दूरम्।"	CHANGED
sa	outcome.timeup.hard.pool	28	"धैर्यं सर्वदा जयेन न मीयते।
कदाचित् पुनरागमनेन मीयते।"	"धैर्यं सर्वदा जयेन न मीयते।
कदाचित् पुनरागमनेन मीयते।"	UNCHANGED
sa	outcome.timeup.hard.pool	29	"मार्गः तिष्ठति।
प्रश्नः अपि तिष्ठति।"	"मार्गः तिष्ठति।
प्रश्नः अपि तिष्ठति।"	UNCHANGED
sa	outcome.timeup.hard.pool	30	"कालः निष्ठुरः आसीत्।
तव प्रयत्नः तु मृदु नासीत्।"	"कालः निष्ठुरः आसीत्।
तव प्रयत्नः तु दुर्बलः नासीत्।"	CHANGED
sa	outcome.timeup.hard.pool	31	"भङ्गुरे जगति,
अपूर्णपदम् अपि साक्ष्यम्।"	"भङ्गुरे जगति,
अपूर्णपदम् अपि साक्ष्यम्।"	UNCHANGED
sa	outcome.timeup.hard.pool	32	"पुनः आगच्छ।
सत्यं धावति न,
तत् प्रतीक्षते।"	"पुनरागच्छ।
सत्यं न धावति,
तत् प्रतीक्षते।"	CHANGED
sa	outcome.timeup.hard.pool	33	"रात्रिः दीर्घा।
किन्तु स्मृतौ दीपः अस्ति।"	"रात्रिः दीर्घा।
स्मृतौ तु दीपः अस्ति।"	CHANGED
sa	outcome.timeup.hard.pool	34	"अन्ते मौनम् आगतम्।
तत् दण्डः न,
आगामिनः आरम्भस्य पूर्वश्वासः।"	"अन्ते मौनम् आगतम्।
तत् दण्डः न,
आगाम्यारम्भस्य पूर्वश्वासः।"	CHANGED
sa	outcome.timeup.hard.pool	35	"भूमिः अद्य मौनम्।
श्वः सा पुनः मार्गं दास्यति।"	"भूमिः अद्य मौनम्।
श्वः सा पुनः मार्गं दास्यति।"	UNCHANGED
sa	outcome.timeup.hard.pool	36	"तव पदानि अल्पानि नासन्।
केवलं कालः अल्पः आसीत्।"	"तव पदानि अल्पानि नासन्।
कालः एव अल्पः आसीत्।"	CHANGED
sa	outcome.timeup.hard.pool	37	"न सर्वं हरितम्।
किञ्चित् अन्तः रक्षितम्।"	"न सर्वं हृतम्।
किञ्चित् अन्तः रक्षितम्।"	CHANGED
sa	outcome.timeup.hard.pool	38	"यत्र मार्गः विरमति,
तत्र पुनरारम्भस्य बीजं निहितम्।"	"यत्र मार्गः विरमति,
तत्र पुनरारम्भस्य बीजं निहितम्।"	UNCHANGED
